month,department,headcount,annualized_turnover_rate,absenteeism_rate,avg_engagement_score,avg_performance_score,overtime_hours,avg_vacancy_days,people_risk_index
2024-08-01,Operations,9,0.3718,0.1651,52.4,64.9,234.0,71.5,31.2
2024-08-01,Sales,11,0.3518,0.1562,52.7,59.3,221.4,67.7,29.5
2024-08-01,Customer Support,11,0.3318,0.1473,54.9,61.7,208.8,63.8,27.8
2024-08-01,Technology,11,0.3117,0.1384,58.0,64.3,196.2,60.0,26.2
2024-08-01,Finance,9,0.2917,0.1295,54.2,64.8,183.6,56.1,24.5
2024-08-01,Human Resources,7,0.2717,0.1206,57.1,64.9,171.0,52.2,22.8
2024-08-01,Supply Chain,10,0.2517,0.1118,57.7,59.3,158.4,48.4,21.1
2024-08-01,Marketing,8,0.2317,0.1029,56.7,60.8,145.8,44.6,19.4
2024-09-01,Operations,9,0.3718,0.1651,55.8,63.7,234.0,71.5,31.2
2024-09-01,Sales,8,0.3518,0.1562,54.6,59.7,221.4,67.7,29.5
2024-09-01,Customer Support,9,0.3318,0.1473,57.4,63.2,208.8,63.8,27.8
2024-09-01,Technology,11,0.3117,0.1384,57.6,60.9,196.2,60.0,26.2
2024-09-01,Finance,10,0.2917,0.1295,54.7,61.0,183.6,56.1,24.5
2024-09-01,Human Resources,13,0.2717,0.1206,56.0,61.6,171.0,52.2,22.8
2024-09-01,Supply Chain,9,0.2517,0.1118,53.1,64.5,158.4,48.4,21.1
2024-09-01,Marketing,12,0.2317,0.1029,53.6,63.4,145.8,44.6,19.4
2024-10-01,Operations,13,0.3718,0.1651,57.4,61.7,234.0,71.5,31.2
2024-10-01,Sales,10,0.3518,0.1562,57.5,63.9,221.4,67.7,29.5
2024-10-01,Customer Support,13,0.3318,0.1473,54.5,62.1,208.8,63.8,27.8
2024-10-01,Technology,10,0.3117,0.1384,53.9,61.2,196.2,60.0,26.2
2024-10-01,Finance,8,0.2917,0.1295,57.2,64.1,183.6,56.1,24.5
2024-10-01,Human Resources,8,0.2717,0.1206,52.4,62.6,171.0,52.2,22.8
2024-10-01,Supply Chain,10,0.2517,0.1118,55.1,60.8,158.4,48.4,21.1
2024-10-01,Marketing,13,0.2317,0.1029,56.8,61.6,145.8,44.6,19.4
2024-11-01,Operations,9,0.3718,0.1651,56.0,60.7,234.0,71.5,31.2
2024-11-01,Sales,13,0.3518,0.1562,54.0,60.3,221.4,67.7,29.5
2024-11-01,Customer Support,11,0.3318,0.1473,55.5,59.5,208.8,63.8,27.8
2024-11-01,Technology,12,0.3117,0.1384,56.8,63.9,196.2,60.0,26.2
2024-11-01,Finance,13,0.2917,0.1295,52.5,60.1,183.6,56.1,24.5
2024-11-01,Human Resources,13,0.2717,0.1206,54.6,65.0,171.0,52.2,22.8
2024-11-01,Supply Chain,12,0.2517,0.1118,57.0,62.5,158.4,48.4,21.1
2024-11-01,Marketing,10,0.2317,0.1029,52.7,59.9,145.8,44.6,19.4
2024-12-01,Operations,11,0.3718,0.1651,56.8,60.1,234.0,71.5,31.2
2024-12-01,Sales,11,0.3518,0.1562,57.7,60.6,221.4,67.7,29.5
2024-12-01,Customer Support,14,0.3318,0.1473,54.3,59.2,208.8,63.8,27.8
2024-12-01,Technology,14,0.3117,0.1384,53.5,62.9,196.2,60.0,26.2
2024-12-01,Finance,12,0.2917,0.1295,57.8,62.0,183.6,56.1,24.5
2024-12-01,Human Resources,13,0.2717,0.1206,53.1,60.5,171.0,52.2,22.8
2024-12-01,Supply Chain,13,0.2517,0.1118,55.0,61.1,158.4,48.4,21.1
2024-12-01,Marketing,12,0.2317,0.1029,53.5,61.7,145.8,44.6,19.4
2025-01-01,Operations,14,0.3718,0.1651,52.0,63.1,234.0,71.5,31.2
2025-01-01,Sales,12,0.3518,0.1562,56.8,61.9,221.4,67.7,29.5
2025-01-01,Customer Support,13,0.3318,0.1473,54.5,61.0,208.8,63.8,27.8
2025-01-01,Technology,11,0.3117,0.1384,54.8,64.1,196.2,60.0,26.2
2025-01-01,Finance,16,0.2917,0.1295,53.2,64.9,183.6,56.1,24.5
2025-01-01,Human Resources,15,0.2717,0.1206,55.1,64.2,171.0,52.2,22.8
2025-01-01,Supply Chain,13,0.2517,0.1118,55.9,62.5,158.4,48.4,21.1
2025-01-01,Marketing,14,0.2317,0.1029,55.9,59.4,145.8,44.6,19.4
2025-02-01,Operations,15,0.3718,0.1651,54.9,60.0,234.0,71.5,31.2
