employee_id,department,designation_level,location,hire_date,employment_status,monthly_salary_bdt,engagement_score,performance_score,absence_rate,monthly_overtime_hours,training_hours_last_12m,critical_role,people_risk_score,risk_band
NCS-0001,Technology,Senior Executive,Gazipur,2023-12-08,Active,78000,51.7,47.3,0.0717,20.9,20.2,Yes,26.7,Medium
NCS-0002,Human Resources,Executive,Narayanganj,2025-03-03,Active,37000,62.8,80.6,0.0398,34.1,20.5,Yes,19.3,Low
NCS-0003,Sales,Assistant Manager,Dhaka,2023-01-24,Active,64500,77.2,59.4,0.0914,24.3,15.8,No,16.5,Low
NCS-0004,Finance,Assistant Manager,Narayanganj,2023-03-21,Active,60500,63.7,72.9,0.0803,31.2,24.8,Yes,19.8,Low
NCS-0005,Operations,Entry,Dhaka,2023-03-25,Active,42000,85.7,76.9,0.0936,2.9,19.7,No,8.2,Low
NCS-0006,Human Resources,Assistant Manager,Narayanganj,2024-03-03,Active,31000,74.3,76.9,0.0604,13.3,21.1,No,12.8,Low
NCS-0007,Operations,Entry,Dhaka,2024-01-27,Active,30000,73.6,79.2,0.0899,5.3,12.4,Yes,12.7,Low
NCS-0008,Marketing,Assistant Manager,Narayanganj,2024-03-17,Active,79000,84.1,71.8,0.1079,35.6,27.2,No,14.1,Low
NCS-0009,Human Resources,Entry,Gazipur,2023-09-12,Active,57000,74.6,71.4,0.1178,20.0,4.7,No,15.4,Low
NCS-0010,Finance,Entry,Remote,2023-06-09,Active,63000,52.0,65.7,0.0584,16.7,13.6,No,21.9,Low
NCS-0011,Operations,Senior Executive,Narayanganj,2024-09-13,Active,63500,53.9,51.4,0.1052,30.6,23.8,No,27.6,Medium
NCS-0012,Finance,Senior Executive,Narayanganj,2024-09-30,Active,72000,65.9,72.8,0.0294,3.2,18.7,Yes,13.3,Low
NCS-0013,Supply Chain,Assistant Manager,Remote,2024-06-28,Active,70500,82.4,80.1,0.0793,20.8,13.4,Yes,11.7,Low
NCS-0014,Operations,Executive,Remote,2026-03-19,Active,82500,54.1,92.8,0.0779,30.1,19.8,No,22.9,Medium
NCS-0015,Supply Chain,Entry,Remote,2023-11-21,Active,42500,95,72.3,0.099,29.7,18.1,No,9.2,Low
NCS-0016,Supply Chain,Senior Executive,Narayanganj,2024-07-25,Active,36000,77.4,71.1,0.0319,21.7,17.9,No,12.1,Low
NCS-0017,Sales,Entry,Gazipur,2024-03-30,Active,48500,60.4,77.6,0.0875,13.9,26.5,No,18.6,Low
NCS-0018,Operations,Entry,Narayanganj,2025-09-06,Active,72500,60.6,66.9,0.1138,30.3,26.5,No,22.3,Medium
NCS-0019,Supply Chain,Executive,Remote,2024-03-16,Active,40000,84.8,85.2,0.0694,22.9,22.3,No,10.8,Low
NCS-0020,Marketing,Entry,Narayanganj,2023-04-10,Active,68500,60.7,65.8,0.0442,6.7,11.2,Yes,16.9,Low
NCS-0021,Operations,Entry,Gazipur,2025-04-06,Active,35000,78.2,55.2,0.1034,22.8,12.2,Yes,17.1,Low
NCS-0022,Technology,Assistant Manager,Narayanganj,2025-07-25,Active,38000,78.5,73.6,0.037,24.8,6.7,No,12.4,Low
NCS-0023,Marketing,Assistant Manager,Gazipur,2023-05-31,Active,61500,73.5,66.2,0.131,20.9,21.2,Yes,17.1,Low
NCS-0024,Marketing,Assistant Manager,Dhaka,2024-01-19,Active,40500,70.8,86.7,0.0824,12.1,16.5,Yes,14.5,Low
NCS-0025,Customer Support,Executive,Gazipur,2024-04-09,Active,37000,62.3,95,0.052,36.6,14.9,Yes,20.2,Low
NCS-0026,Sales,Entry,Dhaka,2025-11-15,Active,25000,75.3,78.6,0.0549,14.2,16.3,No,12.4,Low
NCS-0027,Customer Support,Senior Executive,Dhaka,2023-03-17,Active,41000,85.6,78.7,0.0889,18.2,18.3,Yes,10.4,Low
NCS-0028,Sales,Entry,Narayanganj,2025-12-03,Active,34000,76.8,60.7,0.1062,11.2,31.5,No,14.8,Low
NCS-0029,Sales,Entry,Remote,2025-02-02,Active,46000,79.8,64.1,0.1381,8.9,0.7,No,13.7,Low
NCS-0030,Finance,Assistant Manager,Remote,2025-10-31,Active,73000,65.8,79.7,0.0684,20.6,14.9,Yes,17.1,Low
NCS-0031,Finance,Executive,Remote,2025-12-31,Active,44500,76.7,75.3,0.0975,13.1,9.0,Yes,13.0,Low
NCS-0032,Operations,Executive,Gazipur,2023-09-30,Active,80500,68.1,68.3,0.1896,27.6,11.3,No,21.3,Low
NCS-0033,Technology,Assistant Manager,Remote,2024-04-25,Active,65500,48.3,56.7,0.0641,10.1,27.1,No,24.2,Medium
NCS-0034,Human Resources,Executive,Dhaka,2023-10-18,Active,60000,67.3,85.0,0.0826,31.7,21.5,Yes,18.7,Low
NCS-0035,Customer Support,Executive,Gazipur,2023-11-07,Active,37000,60.3,66.9,0.1283,16.9,30.7,Yes,20.9,Low
NCS-0036,Human Resources,Executive,Gazipur,2023-09-13,Active,43500,80.6,70.5,0.1079,9.4,14.8,Yes,11.5,Low
NCS-0037,Technology,Assistant Manager,Remote,2025-12-14,Active,83000,64.6,95,0.0432,30.3,23.8,No,18.2,Low
NCS-0038,Finance,Entry,Remote,2025-04-19,Active,81000,78.2,78.5,0.0187,20.4,24.7,No,11.2,Low
NCS-0039,Finance,Entry,Gazipur,2023-09-25,Active,66500,81.0,74.4,0.0819,14.8,16.6,No,11.3,Low
NCS-0040,Operations,Entry,Dhaka,2026-02-06,Active,82000,74.0,64.8,0.1177,13.7,22.1,Yes,15.7,Low
