strategy_area,business_problem,intervention,baseline,target,actual,owner,status
1. Talent acquisition,Growth-related people risk,Structured talent acquisition operating practice,51,76,73,HR and Business,Completed
2. Learning and development,Growth-related people risk,Structured learning and development operating practice,52,77,74,HR and Business,Completed
3. Performance management,Growth-related people risk,Structured performance management operating practice,53,78,75,HR and Business,Completed
4. Culture,Growth-related people risk,Structured culture operating practice,54,79,76,HR and Business,Completed
5. Compliance and risk,Growth-related people risk,Structured compliance and risk operating practice,55,80,77,HR and Business,Completed
6. Data-driven decisions,Growth-related people risk,Structured data-driven decisions operating practice,56,81,78,HR and Business,Completed
7. Change management,Growth-related people risk,Structured change management operating practice,57,82,79,HR and Business,Completed
8. DEI,Growth-related people risk,Structured dei operating practice,58,83,80,HR and Business,Completed
9. Wellbeing,Growth-related people risk,Structured wellbeing operating practice,59,84,81,HR and Business,Pilot
10. AI integration,Growth-related people risk,Structured ai integration operating practice,60,85,82,HR and Business,Pilot
