learning_record_id,employee_id,department,program,hours,completion_status,pre_assessment_score,post_assessment_score,behavior_application_score
LND-0001,NCS-0118,Supply Chain,Manager Essentials,4,Yes,60,77,74
LND-0002,NCS-0227,Sales,KPI and Feedback,8,Yes,52,73,76
LND-0003,NCS-0030,Technology,AI for HR,8,No,66,80,61
LND-0004,NCS-0070,Supply Chain,HR Compliance,12,Yes,58,74,60
LND-0005,NCS-0205,Finance,KPI and Feedback,8,Yes,50,64,66
LND-0006,NCS-0031,Operations,HR Compliance,4,Yes,75,97,72
LND-0007,NCS-0265,Technology,HR Compliance,2,Yes,51,64,68
LND-0008,NCS-0199,Operations,HR Compliance,2,Yes,54,69,72
LND-0009,NCS-0079,Supply Chain,Structured Interviewing,12,Yes,48,61,74
LND-0010,NCS-0246,Customer Support,Structured Interviewing,12,Yes,67,91,88
LND-0011,NCS-0209,Supply Chain,AI for HR,6,No,75,87,60
LND-0012,NCS-0231,Finance,KPI and Feedback,6,Yes,59,76,63
LND-0013,NCS-0190,Human Resources,Manager Essentials,6,No,55,79,65
LND-0014,NCS-0141,Customer Support,Manager Essentials,4,Yes,63,77,81
LND-0015,NCS-0265,Operations,Manager Essentials,2,Yes,50,62,57
LND-0016,NCS-0207,Marketing,HR Compliance,8,Yes,51,74,59
LND-0017,NCS-0167,Operations,AI for HR,2,No,51,63,76
LND-0018,NCS-0029,Human Resources,Structured Interviewing,4,Yes,71,81,55
LND-0019,NCS-0257,Technology,HR Compliance,6,Yes,74,97,90
LND-0020,NCS-0174,Human Resources,Structured Interviewing,6,Yes,45,65,79
LND-0021,NCS-0098,Finance,AI for HR,2,Yes,55,66,70
LND-0022,NCS-0086,Supply Chain,Manager Essentials,12,Yes,55,78,86
LND-0023,NCS-0271,Finance,Manager Essentials,2,Yes,51,64,70
LND-0024,NCS-0061,Operations,Structured Interviewing,2,Yes,64,84,84
LND-0025,NCS-0198,Operations,KPI and Feedback,6,No,61,81,57
LND-0026,NCS-0263,Operations,HR Compliance,12,No,67,90,79
LND-0027,NCS-0242,Customer Support,AI for HR,8,Yes,48,72,62
LND-0028,NCS-0124,Finance,KPI and Feedback,6,Yes,53,69,57
LND-0029,NCS-0136,Operations,Structured Interviewing,2,Yes,74,82,57
LND-0030,NCS-0022,Sales,Structured Interviewing,4,Yes,70,80,80
LND-0031,NCS-0202,Supply Chain,HR Compliance,12,Yes,54,65,64
LND-0032,NCS-0009,Human Resources,AI for HR,4,Yes,57,68,82
LND-0033,NCS-0059,Sales,HR Compliance,6,Yes,67,88,77
LND-0034,NCS-0210,Marketing,AI for HR,12,Yes,46,60,56
LND-0035,NCS-0148,Operations,HR Compliance,2,Yes,52,70,75
LND-0036,NCS-0143,Supply Chain,Manager Essentials,8,Yes,65,86,91
LND-0037,NCS-0182,Sales,Structured Interviewing,12,Yes,70,79,60
LND-0038,NCS-0142,Finance,Manager Essentials,2,Yes,61,75,55
LND-0039,NCS-0109,Supply Chain,AI for HR,12,Yes,59,83,92
LND-0040,NCS-0269,Operations,KPI and Feedback,8,Yes,71,86,76
LND-0041,NCS-0017,Marketing,Structured Interviewing,2,Yes,55,69,86
LND-0042,NCS-0090,Marketing,KPI and Feedback,2,Yes,58,71,66
LND-0043,NCS-0067,Technology,AI for HR,12,Yes,65,75,84
LND-0044,NCS-0220,Operations,KPI and Feedback,2,Yes,52,76,66
LND-0045,NCS-0015,Human Resources,HR Compliance,2,Yes,69,81,71
LND-0046,NCS-0247,Sales,Structured Interviewing,12,Yes,72,86,67
LND-0047,NCS-0038,Customer Support,Manager Essentials,6,Yes,47,60,64
LND-0048,NCS-0179,Sales,AI for HR,2,Yes,71,91,87
LND-0049,NCS-0252,Finance,KPI and Feedback,12,No,75,84,85
LND-0050,NCS-0091,Finance,HR Compliance,12,Yes,59,79,63
LND-0051,NCS-0257,Technology,HR Compliance,6,Yes,46,57,63
LND-0052,NCS-0201,Human Resources,Manager Essentials,4,No,47,65,59
LND-0053,NCS-0065,Human Resources,HR Compliance,4,Yes,74,88,73
LND-0054,NCS-0012,Marketing,Structured Interviewing,4,Yes,48,68,91
LND-0055,NCS-0054,Supply Chain,KPI and Feedback,2,Yes,61,83,73
LND-0056,NCS-0138,Sales,Manager Essentials,12,Yes,60,79,83
LND-0057,NCS-0171,Technology,Structured Interviewing,12,Yes,56,68,64
LND-0058,NCS-0124,Supply Chain,Structured Interviewing,6,Yes,52,70,89
LND-0059,NCS-0104,Customer Support,AI for HR,8,Yes,66,88,64
LND-0060,NCS-0134,Customer Support,HR Compliance,12,Yes,65,78,66
LND-0061,NCS-0096,Supply Chain,Structured Interviewing,6,No,56,69,82
LND-0062,NCS-0045,Human Resources,HR Compliance,4,Yes,45,59,63
LND-0063,NCS-0058,Finance,Manager Essentials,2,Yes,64,75,77
LND-0064,NCS-0151,Technology,HR Compliance,8,Yes,56,77,88
LND-0065,NCS-0060,Customer Support,AI for HR,6,Yes,75,90,66
LND-0066,NCS-0178,Human Resources,KPI and Feedback,4,Yes,74,84,55
LND-0067,NCS-0112,Human Resources,Manager Essentials,4,Yes,48,65,85
LND-0068,NCS-0083,Supply Chain,KPI and Feedback,2,Yes,47,55,64
LND-0069,NCS-0049,Finance,Manager Essentials,8,Yes,61,83,66
LND-0070,NCS-0157,Marketing,Structured Interviewing,2,No,45,54,70
LND-0071,NCS-0240,Sales,Structured Interviewing,8,Yes,63,79,71
LND-0072,NCS-0014,Customer Support,AI for HR,8,Yes,72,89,87
LND-0073,NCS-0151,Marketing,HR Compliance,6,Yes,70,88,73
LND-0074,NCS-0048,Supply Chain,Manager Essentials,6,Yes,63,73,90
