month,headcount,hires,exits,annualized_turnover_rate,absenteeism_rate,overtime_cost_ratio,avg_engagement_score,avg_performance_score,avg_time_to_fill_days,training_completion_rate,compliance_documentation_rate,manager_effectiveness_score,early_attrition_90d_rate,phase
2024-08-01,69,3,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2024-09-01,77,10,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2024-10-01,83,8,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2024-11-01,91,10,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2024-12-01,96,7,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-01-01,105,11,2,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-02-01,110,8,3,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-03-01,118,11,3,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-04-01,125,10,3,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-05-01,130,8,3,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-06-01,137,10,3,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-07-01,143,10,4,0.286,0.127,0.184,56.0,63.0,53.0,0.44,0.61,58.0,0.241,Diagnostic / Startup
2025-08-01,151,11,3,0.277,0.1227,0.1777,57.5,64.1,51.2,0.4775,0.6383,59.6,0.231,Intervention / SME Transition
2025-09-01,156,9,4,0.268,0.1185,0.1715,59.0,65.2,49.5,0.515,0.6667,61.2,0.221,Intervention / SME Transition
2025-10-01,164,12,4,0.259,0.1143,0.1653,60.5,66.2,47.8,0.5525,0.695,62.8,0.211,Intervention / SME Transition
2025-11-01,172,11,3,0.25,0.11,0.159,62.0,67.3,46.0,0.59,0.7233,64.3,0.201,Intervention / SME Transition
2025-12-01,177,9,4,0.241,0.1057,0.1527,63.5,68.4,44.2,0.6275,0.7517,65.9,0.191,Intervention / SME Transition
2026-01-01,187,13,3,0.232,0.1015,0.1465,65.0,69.5,42.5,0.665,0.78,67.5,0.181,Intervention / SME Transition
2026-02-01,192,8,3,0.223,0.0973,0.1402,66.5,70.6,40.8,0.7025,0.8083,69.1,0.171,Intervention / SME Transition
2026-03-01,199,10,3,0.214,0.093,0.134,68.0,71.7,39.0,0.74,0.8367,70.7,0.161,Intervention / SME Transition
2026-04-01,204,8,3,0.205,0.0887,0.1278,69.5,72.8,37.2,0.7775,0.865,72.2,0.151,Intervention / SME Transition
2026-05-01,211,11,4,0.196,0.0845,0.1215,71.0,73.8,35.5,0.815,0.8933,73.8,0.141,Intervention / SME Transition
2026-06-01,220,13,4,0.187,0.0803,0.1153,72.5,74.9,33.8,0.8525,0.9217,75.4,0.131,Intervention / SME Transition
2026-07-01,226,10,4,0.178,0.076,0.109,74.0,76.0,32.0,0.89,0.95,77.0,0.121,Intervention / SME Transition
